id,x,y
1,306216.92021566443,7351145.281095665
2,306149.1830018265,7351038.323400268
3,327911.62344002817,7351223.037730659
4,327860.5747604547,7351214.141099853
5,306239.46688499395,7351229.463670779
6,306205.3127136538,7351271.363121988
7,305995.27760183625,7351261.728582883
8,331408.3572908938,7350858.093400648
9,331737.3372438252,7351376.606177713
10,331757.63162937947,7351342.231570618
11,323170.76232535485,7351093.77182753
12,322741.5239409199,7351576.708767219
13,307075.25657020975,7351623.813052426
14,312035.09417199343,7351626.718187498
15,311978.46795647684,7351705.995292786
16,312569.54099503625,7351719.478065648
17,312425.7524537062,7351610.978364416
18,312591.4982309826,7351737.753601749
19,307252.13219925854,7351751.472126713
20,311981.58075520303,7351766.893518532
21,312600.0656474158,7351774.076204982
22,311784.2640217114,7351557.846090699
23,311518.0459006075,7351484.743222066
24,311318.54229763616,7351813.764805588
25,311533.4840402547,7351849.650864715
26,310861.7607961567,7351438.814397969
27,310759.5025360277,7351883.842241817
28,313129.2271511592,7351900.212087674
29,313047.1421679864,7351886.21745838
30,311754.6548231784,7351905.188458397
31,332829.2024991298,7351909.532455003
32,332790.5137023181,7351885.335598083
33,333199.1764931884,7351762.203786856
34,305899.8824891597,7351913.41529884
35,312125.7772447858,7351651.616381125
36,321837.7164668534,7351663.82185589
37,322060.41544081364,7351938.121618267
38,322313.050849529,7351954.284931443
39,313333.3892224543,7351956.408874886
40,322275.29203613475,7351982.062943927
41,322358.82350156736,7351990.616770478
42,306697.1951847654,7352003.870992701
43,312589.33498114534,7352092.534145068
44,312234.8766051447,7352094.9631838575
45,328285.4177488545,7352114.874870434
46,312741.3409265336,7352139.975863673
47,312894.86709504947,7351863.510314189
48,306296.64283765946,7352146.604677053
49,306142.6420677174,7352183.057262961
50,313105.1650050115,7352192.454037257
51,312224.6710766861,7352240.160882555
52,322958.9557004617,7351973.123609114
53,322666.811333159,7352260.277707262
54,311501.810766533,7352271.7716610115
55,312275.0934295887,7352277.440367254
56,312571.09633263946,7352293.411014387
57,322591.57006228063,7352324.777596677
58,311741.09962586686,7352329.030877554
59,312892.02361989394,7352379.839721692
60,313470.13334391546,7352398.531106035
61,313571.66085160617,7352101.909149296
62,312694.2475161273,7352405.022573595
63,306324.0160521008,7352380.749406626
64,323248.4805684695,7352411.159914713
65,313348.6022321703,7352413.424774955
66,312523.8674696917,7352424.168696293
67,329407.6099882536,7352447.574641553
68,332728.93543778267,7352450.972580197
69,311823.7488667965,7352460.280082556
70,313154.44024126045,7352473.176791737
71,306782.3959134426,7352485.753803355
72,320936.14840157423,7351698.226843298
73,321507.2796513112,7352500.438499624
74,313507.85528493207,7352549.34631685
75,309450.3663864545,7352563.997099522
76,309252.48338486534,7352325.427995614
77,313993.2743891757,7352359.349469873
78,314048.7811493287,7352568.395351464
79,314140.6952213198,7352540.728759405
80,313899.44894535467,7352302.060895364
81,314217.1384416986,7352604.755890905
82,313991.3855548296,7352635.255300175
83,317401.21978606377,7351287.255689328
84,316437.6330387397,7352658.883775683
85,332309.9963167012,7352614.244647261
86,332410.5035350323,7352706.6600775905
87,313893.71052413434,7352810.535417314
88,313868.10593705624,7352597.958379675
89,314009.2180932872,7352937.144485052
90,309547.7838286096,7352951.827796667
91,308998.4496492036,7352924.633778703
92,309635.9666108703,7352971.671967435
93,322862.3245827267,7352988.637655994
94,314213.40430179704,7353050.4544197405
95,314373.73077564593,7352591.639782594
96,309763.72294919845,7353058.93452918
97,310067.1385993622,7352892.867229413
98,314451.36225132924,7352639.035992805
99,314113.0257408926,7353147.420324868
100,314152.4280875996,7353188.648529589
101,310552.9928264925,7353099.287411725
102,310684.9895454757,7353197.497030469
103,309850.6059558233,7353241.018849837
104,310075.5433950387,7353179.268047233
105,310250.383648701,7353258.441141076
106,309781.0282408865,7353261.73224521
107,309865.2897343142,7353271.797170698
108,310449.06295874715,7353322.207766307
109,332539.56137295906,7353372.262512388
110,326737.6076614307,7353387.8136268575
111,332545.442596158,7353406.666201184
112,309986.3253019685,7353421.78722553
113,332700.3028155118,7353432.8469856335
114,327639.27491230145,7353441.017421811
115,310190.5499117952,7353445.885712588
116,313570.57400936075,7353450.905771266
117,313241.7603685474,7353314.955508288
118,313562.74522717297,7353470.410485757
119,313180.0663098693,7353470.749363694
120,313230.75550501887,7353431.563964318
121,310253.4063610751,7353497.758904791
122,310329.1582047343,7353510.777052622
123,309831.3489439888,7353536.004562012
124,312813.01132627204,7353546.605129567
125,312999.9175480511,7353133.860079758
126,309838.8576894356,7353580.368314509
127,313726.54245645273,7353581.297969673
128,310809.5690372456,7353593.338814091
129,312610.473451267,7353606.208847961
130,312331.4410549011,7353209.335030417
131,309337.3710678108,7353615.311566076
132,314954.9700324647,7353638.276176057
133,315302.75703563634,7353158.786959078
134,314486.3079671394,7353646.460282039
135,314832.7610216001,7352871.879739769
136,311712.7462086426,7353649.634673599
137,311699.0748030739,7353618.207231224
138,311838.4184344681,7353637.566247603
139,311678.84387015924,7353657.675761591
140,311568.0300296424,7353678.921041013
141,311223.9178678775,7353685.141485196
142,310910.2902254751,7353499.488995959
143,319579.0141518284,7353477.919771381
144,319695.77719066944,7353748.900102574
145,322569.30361488,7353453.213620401
146,322691.2544383835,7353751.278036878
147,310743.9081853302,7353755.153530496
148,326627.8199854698,7353807.319063204
149,314317.840819546,7353812.400190882
150,311763.9381790161,7353816.693524547
151,319759.0940501261,7353821.824592336
152,320241.4079008596,7352923.51556194
153,324011.1893549804,7353192.840726571
154,324254.60174380336,7353834.557071377
155,311601.332817615,7353872.109622647
156,326307.2652813522,7353834.519542066
157,326654.55863315053,7353927.219935097
158,313461.1365668457,7353997.618932721
159,318857.9130620817,7353138.614158164
160,318985.4526005117,7354009.825081847
161,323966.2607413708,7354025.918536458
162,326928.63590280525,7354034.282579672
163,313355.633448774,7354084.467092422
164,313318.79036999587,7354020.185583155
165,315580.8233142029,7354106.226530487
166,313700.047375489,7354113.423634648
167,313840.0950783361,7354067.816645648
168,315605.7637883648,7354128.27904739
169,311945.20083438884,7354150.390744
170,313522.8502499219,7354126.070094868
171,313621.7503372068,7354156.584101943
172,313871.3994068988,7354173.1314490335
173,313616.59230250865,7354176.644077978
174,311706.3684742246,7354170.982052778
175,313850.69116668403,7354276.665400136
176,313652.9273438491,7354295.992667425
177,311984.9356815703,7354313.997593695
178,324230.0585704651,7354323.110634333
179,325639.8098013364,7351150.460994485
180,327464.58900701534,7354161.308313452
181,327318.2307598116,7354340.96798814
182,324209.2392841177,7354346.105399038
183,326711.1913475748,7354377.684024499
184,327222.2104810616,7353967.202050447
185,313548.3808518974,7354381.259600061
186,316457.8578384714,7352681.727640038
187,316475.5892230999,7354409.378692078
188,318074.0212286627,7352928.836789634
189,327381.81027337257,7354504.672246484
190,320568.91907143407,7354166.009110984
191,320520.872806252,7354531.954309235
192,320987.42377128266,7352948.465105976
